Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
IDN,1988-01-01,1988-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1988,1988,US$,47.268100,E
IDN,1989-01-01,1989-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1989,1989,US$,49.514100,E
IDN,1990-01-01,1990-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1990,1990,US$,51.232300,E
IDN,1991-01-01,1991-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1991,1991,US$,52.682000,E
IDN,1992-01-01,1992-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1992,1992,US$,53.330800,E
IDN,1993-01-01,1993-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1993,1993,US$,56.476100,E
IDN,1994-01-01,1994-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1994,1994,US$,58.793500,E
IDN,1995-01-01,1995-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1995,1995,US$,62.078900,E
IDN,1996-01-01,1996-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1996,1996,US$,64.766900,E
IDN,1997-01-01,1997-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1997,1997,US$,58.698000,E
IDN,1998-01-01,1998-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1998,1998,US$,29.891200,E
IDN,1999-01-01,1999-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1999,1999,US$,43.500900,E
IDN,2000-01-01,2000-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2000,2000,US$,44.480200,E
IDN,2001-01-01,2001-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2001,2001,US$,41.727000,E
IDN,2002-01-01,2002-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2002,2002,US$,48.693900,E
IDN,2003-01-01,2003-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2003,2003,US$,55.762000,E
IDN,2004-01-01,2004-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2004,2004,US$,58.080700,E
IDN,2005-01-01,2005-12-31,101,'360,Indonesia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2005,2005,US$,61.164100,E
